username,avatar_url,offers_count,time_remaining,title,job_url,preview_description,full_description,category,category_url,budget,page
Cotton Stories,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Przeprojektowanie strony internetowej pod kątem UI,"https://useme.com/pl/jobs/przeprojektowanie-strony-internetowej-pod-katem-ui,104983/","Zlecę przerobienie szaty graficznej/strony wizualnej naszej strony internetowej. Potrzebujemy nowego, świeżego wyglądu, który lepiej odda charakter naszej marki i przyciągnie uwagę użytkowników.

Zakres zlecenia:

	•	Zaprojektowanie i...",Description not found,Projektowanie UX/UI,"https://useme.com/pl/jobs/category/design,38/projektowanie-ux-ui,121/",Do negocjacji,3
Management,https://useme-prod-public.s3.amazonaws.com/avatars/053/419753.png,,Znika za 89 dni,Niemcy/Rammstein - budowa szpitalu dla amerykańskich żolnierzy,"https://useme.com/pl/jobs/niemcyrammstein-budowa-szpitalu-dla-amerykanskich-zolnierzy,104977/","Poszukujemy osoby ze znajomością języka niemieckiego lub j.angielskiego w celu przeprowadzenia wymiany E-maili lub listowej z wszystkimi osobami decyzyjnymi (Prezes lub v-ce Prezes) tych podwykonawców ,które nadzorują realizację kontraktu budowy...",Description not found,Wirtualna asystentura,"https://useme.com/pl/jobs/category/prace-biurowe,40/wirtualna-asystentura,131/",Do negocjacji,3
Management,https://useme-prod-public.s3.amazonaws.com/avatars/053/419753.png,,Znika za 89 dni,W.Brytania - naiwązanie kontaktu z osoba decyzyjna wraz z przygotowaniem umowy,"https://useme.com/pl/jobs/wbrytania-naiwazanie-kontaktu-z-osoba-decyzyjna-wraz-z-przygotowaniem-umowy,104975/","Poszukujemy osoby ze znajomością języka angielskiego w celu przeprowadzenia wymiany E-maili lub listowej z wszystkimi osobami decyzyjnymi (Prezes lub v-ce Prezes) tych podwykonawców ,które nadzorują realizację kontraktu budowy trasy kolei...",Description not found,Wirtualna asystentura,"https://useme.com/pl/jobs/category/prace-biurowe,40/wirtualna-asystentura,131/",Do negocjacji,3
Management,https://useme-prod-public.s3.amazonaws.com/avatars/053/419753.png,,Znika za 89 dni,"Dania /Femernbelt/ - nawiązanie kontaktu z osoba decyzyjna , i doprowadzenie do podpisania umowy.","https://useme.com/pl/jobs/dania-femernbelt-nawiazanie-kontaktu-z-osoba-decyzyjna-i-doprowadzenie-do-podpis,104974/","Poszukujemy osoby ze znajomością języka duńskiego lub j.angielskiego w celu przeprowadzenia wymiany E-maili lub listowej z wszystkimi osobami decyzyjnymi (Prezes lub v-ce Prezes) tych podwykonawców ,które nadzorują realizację kontraktu budowy...",Description not found,Wirtualna asystentura,"https://useme.com/pl/jobs/category/prace-biurowe,40/wirtualna-asystentura,131/",Do negocjacji,3
Bolt Food,https://useme-prod-public.s3.amazonaws.com/avatars/030/261630.png,,Znika za 29 dni,Fotografia kulinarna - Bolt Food [Łódź],"https://useme.com/pl/jobs/fotografia-kulinarna-bolt-food-odz,104981/","Bolt Food, jedna z czołowych aplikacji do dowożenia jedzenia, poszukuje doświadczonego fotografa kulinarnego do realizacji sesji zdjęciowych w nowych restauracjach naszej sieci, zlokalizowanych w Łodzi.

WYMAGANIA:

-Doświadczenie w fotografii...",Description not found,Fotografia,"https://useme.com/pl/jobs/category/multimedia,36/fotografia,107/","500,00 PLN",3
Digital Just Better Sp. z o.o.,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,"Artykuły o tematyce medytacji, mindfulness, kursach MBSR, jodze","https://useme.com/pl/jobs/artykuy-o-tematyce-medytacji-mindfulness-kursach-mbsr-jodze,104978/","Dzień dobry, poszukuję autorek i autorów do pisania artykułów o tematyce Mindfulness (nowopowstający serwis internetowy o tematyce uważności). Zlecenie obejmuje pisanie treści (artykułów) o takiej tematyce jak: medytacja, kursy medytacji, kursy...",Description not found,Copywriting i teksty,"https://useme.com/pl/jobs/category/marketing,37/copywriting-i-teksty,110/",Do negocjacji,3
LM,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Modyfikacja 2 szt. zdjęć pochodzących ze stoku,"https://useme.com/pl/jobs/modyfikacja-2-szt-zdjec-pochodzacych-ze-stoku,104973/","Korekta i modelowanie 2 szt. zdjęć pochodzących ze stoku. 
1) Fotografia przedstawiająca wspinaczkę na hali sportowej
2) Fotografia przedstawiająca kobietę i mężczyznę na siłowni

Termin wykonanie do 24 listopada 2024 r. 
Wymagane...",Description not found,Fotografia,"https://useme.com/pl/jobs/category/multimedia,36/fotografia,107/","143,00 PLN",3
Management,https://useme-prod-public.s3.amazonaws.com/avatars/053/419753.png,,Znika za 89 dni,SAP - Migracja danych z SAP do SAP S/4HANA.,"https://useme.com/pl/jobs/sap-migracja-danych-z-sap-do-sap-s4hana,104972/","Poszukujemy koordynatora/Menager/ który ma doświadczenie i kompetencje do zarządzania projektem do przeprowadzenia migracji danych z SAP do SAP S/4HANA. Migracja danych ma odbywać się w formie ""Umowy o dzieło"".Proszę o podanie ceny jednostkowej...",Description not found,Zarządzanie projektami,"https://useme.com/pl/jobs/category/prace-biurowe,40/zarzadzanie-projektami,136/",Do negocjacji,3
lesnesikorki,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Wykonanie strony internetowej placówki,"https://useme.com/pl/jobs/wykonanie-strony-internetowej-placowki,104971/","Zlecę wykonanie strony internetowej placówki (żłobek, przedszkole) szata już istniejąca, nowa domena utworzenie dwóch placówek na jednej stronie, z przeniesieniem do już istniejącej. Odpowiednia konfiguracja odnajdywania strony, zamieszczenie...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,3
Weronika,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Filmy UGC dla pilotów/osób zainteresowanych lotnictwem,"https://useme.com/pl/jobs/filmy-ugc-dla-pilotowosob-zainteresowanych-lotnictwem,104970/","Zlecę produkcję krótkich filmów UGC prezentujących stronę internetową oraz aplikację mobilną oferującą możliwość zdania egzaminu ICAO 4/5/6 online oraz kurs pomagający zdać egzamin ICAO.

W filmach zależy nam na prawdziwych doświadczeniach...",Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/",Do negocjacji,3
Evermore Sp. z o.o.,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 59 dni,Obsługa sklepu PRESTA,"https://useme.com/pl/jobs/obsuga-sklepu-presta,104968/","Potrzebuję wsparcia przy sklepie internetowym postawionym na Presta Shop. 
Aktualizacje, poprawki, włączanie wtyczek, import danych, sprawdzanie poprawnosci funkcjonowania.",Description not found,Obsługa sklepów internetowych,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/obsuga-sklepow-internetowych,99/",Do negocjacji,3
cezary_,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Grafiki na Amazon A+ Content Enhanced Brand Content,"https://useme.com/pl/jobs/grafiki-na-amazon-a-content-enhanced-brand-content,104967/",Zlecę wykonanie grafik do Amazon Enhanced Brand Content. Posiadam swoje rendery produktów (białe tło + aranżacja). Potrzebuję kogoś kto zręcznie wykorzysta stockowe zdjęcia oraz dorobi infografiki do feature'ów produktowych. Proszę o wycenę per...,Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,3
KaksusAds.pl,https://useme-prod-public.s3.amazonaws.com/avatars/007/351907.png,,Znika za 29 dni,Nośniki graficzne na Social Media,"https://useme.com/pl/jobs/nosniki-graficzne-na-social-media,104966/","Z chęcią nawiążemy współpracę w zakresie dostarczenia grafik na kanały social media (zarówno dla użytku wewnętrznego, jak i dla Klientów) 
Szukamy kogoś do stałej, rozwijającej się współpracy. 

Realizacja nośników graficznych na podstawie...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,4
Plan B Design,https://useme-prod-public.s3.amazonaws.com/avatars/092/111292_uIFBbyK.png,,Znika za 29 dni,Pozyskiwanie klientów,"https://useme.com/pl/jobs/pozyskiwanie-klientow,104965/","Witam, 

Zajmuję się kompleksowym projektowaniem graficznym. Tworzę profesjonalne, estetyczne rozwiązania wizualne, które przyciągają klientów (m.in. projekty brandingowe, grafiki pod social media, strony internetowe, logo, key visual, plakaty,...",Description not found,Sprzedaż i obsługa sprzedaży,"https://useme.com/pl/jobs/category/marketing,37/sprzedaz-i-obsuga-sprzedazy,113/",Do negocjacji,4
Brand New Story,https://useme-prod-public.s3.amazonaws.com/avatars/069/104369_1Z6h8Rq.png,,Znika za 29 dni,Cięcie widoków - długoterminowa współpraca,"https://useme.com/pl/jobs/ciecie-widokow-dugoterminowa-wspopraca,104964/","Cześć!
Jesteśmy Brand New Story – tworzymy strony www, sklepy internetowe i dedykowane rozwiązania e-commerce. Aktualnie szukamy Partnera do długoterminowej współpracy w zakresie cięcia widoków.   

Zakres współpracy obejmuje:
Współpraca...",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,4
MagdalenaSrokaFeelgood,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Obróbka zdjęć + zaprojektowanie okładki,"https://useme.com/pl/jobs/obrobka-zdjec-zaprojektowanie-okadki,104963/","Szukamy osoby, która obrobi graficznie 77 zdjęć. 
Kolejnym krokiem będzie wybór 3 zdjęć które pojawią się na okładce, zdjęcie będzie jej głównym elementem - reszta to tylko eleganckie dopełnienie 

Po podjęciu decyzji podeślemy link do...",Description not found,Fotografia,"https://useme.com/pl/jobs/category/multimedia,36/fotografia,107/",Do negocjacji,4
kiyam,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Montaż filmu z imprezy okolicznościowej (film+kilka zdjęć),"https://useme.com/pl/jobs/montaz-filmu-z-imprezy-okolicznosciowej-filmkilka-zdjec,104962/","Dzień dobry,
szukam wykonawcy do montażu kilkuminutowego filmu z imprezy okolicznościowej (głównie z kościoła i kilka minut na sali). Materiał wyjściowy to około 15 minut. Niestety jakość pozostawia wiele do życzenia, obraz się trzęsie, czasami...",Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/",Do negocjacji,4
joanna_katarzyna,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Audyt stron + podstawowy plan działania/meta opisy,"https://useme.com/pl/jobs/audyt-stron-podstawowy-plan-dziaaniameta-opisy,104961/","Prowadzę dwie strony internetowe. Jedna ma pół roku, a druga miesiąc. Tematyka nieruchomości zagranicą. Artykuły pod SEO piszę ja, ale chciałabym, aby ktoś zrobił podstawowy audyt obydwu stron i powiedział, co można ulepszyć oraz ew. wskazał meta...",Description not found,SEO,"https://useme.com/pl/jobs/category/marketing,37/seo,112/",Do negocjacji,4
GS,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Wirtualna asystentka z językiem francuskim,"https://useme.com/pl/jobs/wirtualna-asystentka-z-jezykiem-francuskim,104960/","Poszukujemy wirtualnej asystentki z płynnym j. francuskim w firmie z branży budowlanej. Możliwa stała współpraca.

Cele:
- rozwiązywanie problemów pojawiających się w projekcie,
- pilotowanie spraw,
- kontrola terminów,
- uzupełnianie...",Description not found,Wirtualna asystentura,"https://useme.com/pl/jobs/category/prace-biurowe,40/wirtualna-asystentura,131/",Do negocjacji,4
Michał Czuga,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Tekst na landing Page,"https://useme.com/pl/jobs/tekst-na-landing-page,104957/",Potrzebuje stworzyć tekst ofertowy  na landing page'a.,Description not found,Copywriting i teksty,"https://useme.com/pl/jobs/category/marketing,37/copywriting-i-teksty,110/",Do negocjacji,4
Kornelia,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Mapa obiektu hotelowego,"https://useme.com/pl/jobs/mapa-obiektu-hotelowego,104956/","Mapa obiektu hotelowego z oznaczeniem dróg dojazdowych, numeracją budynków oraz oznaczeniem pomieszczeń ogólnodostępnych - sala zabaw, rowerownia, restauracja.",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,4
Fitatu Sp. z o.o.,https://useme-prod-public.s3.amazonaws.com/avatars/018/138918.png,,Znika za 29 dni,UGC I Influencer kreator KETO treści,"https://useme.com/pl/jobs/ugc-i-influencer-kreator-keto-tresci,104955/","Jeśli keto to Twoja pasja, masz talent do tworzenia treści i dobrze odnajdujesz się w social mediach – zostań naszym twórcą! 😎 Dla marki KetOnline....

Szukamy kogoś, kto:

- Dzieli się wiedzą o keto, dietach niskowęglowodanowych i zdrowym stylu...",Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/",Do negocjacji,4
Fitatu Sp. z o.o.,https://useme-prod-public.s3.amazonaws.com/avatars/018/138918.png,,Znika za 29 dni,UGC I Influencer Mężczyzna kreator,"https://useme.com/pl/jobs/ugc-i-influencer-mezczyzna-kreator,104954/","Jeśli keto to Twoja pasja, masz talent do tworzenia treści i dobrze odnajdujesz się w social mediach – zostań naszym twórcą! 😎

Szukamy kogoś, kto:

- Dzieli się wiedzą o keto, dietach niskowęglowodanowych i zdrowym stylu życia
- Potrafi tworzyć...",Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/",Do negocjacji,4
Łukasz,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Ustawienie i parametryzacja HUBSPOT,"https://useme.com/pl/jobs/ustawienie-i-parametryzacja-hubspot,104952/","Poszukuję osoby, która poprawnie mi ustawi i zoptymalizuje HUBSPOTA",Description not found,Oprogramowanie,"https://useme.com/pl/jobs/category/programowanie-i-it,35/oprogramowanie,100/",Do negocjacji,4
TopikA,https://useme-prod-public.s3.amazonaws.com/avatars/042/406742.png,,Znika za 29 dni,Aplikacja ułatwiająca pracę,"https://useme.com/pl/jobs/aplikacja-uatwiajaca-prace,104951/","Poszukuję wykonawcy, który stworzy aplikację mobilną/webową dla HR z funkcjami do zarządzania rekrutacją, organizacją pracy i komunikacją wewnętrzną. Aplikacja powinna umożliwiać tworzenie i edytowanie ofert pracy, przeglądanie aplikacji...",Description not found,Aplikacje mobilne,"https://useme.com/pl/jobs/category/programowanie-i-it,35/aplikacje-mobilne,101/",Do negocjacji,4
inmovly,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Pozyskanie klientów,"https://useme.com/pl/jobs/pozyskanie-klientow,104949/","Poszukujemy osób do pozyskiwania klientów na strony internetowe Wordpress.

Będziemy oferować hosting w Google Cloud Platform lub Amazon AWS.

Proste strony internetowe, czyste i czytelne z uwzględnieniem UX. 
Dla klientów nie mających...",Description not found,Sprzedaż i obsługa sprzedaży,"https://useme.com/pl/jobs/category/marketing,37/sprzedaz-i-obsuga-sprzedazy,113/",Do negocjacji,4
Kamil,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Potrzebuje kilku ujęć z Drona w okolicy Lublińca,"https://useme.com/pl/jobs/potrzebuje-kilku-ujec-z-drona-w-okolicy-lublinca,104948/","Będziemy nagrywać video dla naszego klienta i potrzebujemy kilku ujęć z drona. 
Lokalizacja Lubliniec na śląsku.  Event odbywa się w godzinach 9-12 oraz od 15-17. 
Data Eventu 28.10

Pozdrawiam",Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/",Do negocjacji,4
PatTau,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Elektryk - montaż diod LED na obrazie,"https://useme.com/pl/jobs/elektryk-montaz-diod-led-na-obrazie,104947/","Szukam elektryka, który zamontuje przewód z diodami LED do 3 obrazów wydrukowanych na półtnie i naciągniętych na drewnianą ramę. Diody powinny przebijać się punktowo przez płótno - wyznaczę ok. 20 konkretnych punktów per obraz. Poza diodami...",Description not found,Usługi,"https://useme.com/pl/jobs/category/inne-prace,13/uslugi,71/",Do negocjacji,4
TopikA,https://useme-prod-public.s3.amazonaws.com/avatars/042/406742.png,,Znika za 29 dni,Aplikacja ułatwiająca organizacje pracy,"https://useme.com/pl/jobs/aplikacja-uatwiajaca-organizacje-pracy,104946/","Poszukuję wykonawcy aplikacji mobilnej przeznaczonej dla działów HR, która ułatwi organizację pracy, zarządzanie zasobami ludzkimi, procesy rekrutacyjne i komunikację wewnętrzną.Aplikacja powinna umożliwiać tworzenie i edytowanie ofert pracy,...",Description not found,Aplikacje mobilne,"https://useme.com/pl/jobs/category/programowanie-i-it,35/aplikacje-mobilne,101/",Do negocjacji,4
IGUANA,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Opisy produktów do sklepu internetowego,"https://useme.com/pl/jobs/opisy-produktow-do-sklepu-internetowego,104944/",Do opisania mam 210 zapalniczek do sklepu internetowego. Każdy opis musi być unikalny i ma mieć około 1600 zzs + krótki opis produktu na ok. 400 zzs. Proszę o podanie ceny za opis 1 produktu (długi i krótki opis).,Description not found,Copywriting i teksty,"https://useme.com/pl/jobs/category/marketing,37/copywriting-i-teksty,110/",Do negocjacji,4
Kamil221,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Konfiguracja konta Ebay.de,"https://useme.com/pl/jobs/konfiguracja-konta-ebayde,104943/","Szanowni Państwo,

piszę do Państwa ponieważ chciałbym rozpocząć sprzedaż produktów na rynku Niemieckim przez portal ebay.de w związku z powyższym chciałem zapytać czy zajęliby się Państwo dla mnie elementami związanymi z rozpoczęciem...",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,4
Grzegorz Szwaciński,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Gazetki szkolne dla uczniów - STAŁA WSPÓŁPRACA!,"https://useme.com/pl/jobs/gazetki-szkolne-dla-uczniow-staa-wspopraca,104942/","Dzień dobry,

poszukuję do stałej współpracy osoby tworzącej gazetki szkolne. Gazetki do druku przez nauczyciela w formacie A4 i w pliku PDF. Gazetki dotyczą j. polskiego, matematyki, fizyki, j. angielskiego, biologii. Tworzymy gazetki dotyczące...",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/","80,00 PLN",4
PRIME TECH,https://useme-prod-public.s3.amazonaws.com/avatars/011/312411.png,,Znika za 29 dni,Import sklepu WooCommerce na własny serwer z LH konfiguracja,"https://useme.com/pl/jobs/import-sklepu-woocommerce-na-wasny-serwer-z-lh-konfiguracja,104941/","### Zlecenie dla freelancera: Import sklepu WooCommerce na własny serwer

**Opis zlecenia:**

Zlecę zaimportowanie sklepu internetowego opartego na WooCommerce z serwera LH.pl na nasz własny serwer. Posiadamy pełny dostęp do serwera, a...",Description not found,Administracja serwerami,"https://useme.com/pl/jobs/category/programowanie-i-it,35/administracja-serwerami,104/",Do negocjacji,5
Centrum123,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Naprawa formularza kontaktowego na stronie Wordpress,"https://useme.com/pl/jobs/naprawa-formularza-kontaktowego-na-stronie-wordpress,104939/","Zlecę naprawę formularza kontaktowego na stronie internetowej Wordpress. 
Przy próbie wysłania wiadomości za pośrednictwem formularza wyskakuje komunikat:""Wystąpił problem z wysłaniem twojej wiadomości. Spróbuj ponownie później.""",Description not found,Obsługa stron internetowych,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/obsuga-stron-internetowych,98/",Do negocjacji,5
ecom,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Poszukiwany Copywriter,"https://useme.com/pl/jobs/poszukiwany-copywriter,104938/","Poszukiwany Copywriter do stałej współpracy. 

Zależy mi na osobie, która będzie w stanie pisać artykuły z dziedziny księgowości, podatków, finansów.

Interesuje mnie około 10 - 15 artykułów w miesiącu, każdy artykuł o długości około 3000 -...",Description not found,Copywriting i teksty,"https://useme.com/pl/jobs/category/marketing,37/copywriting-i-teksty,110/",Do negocjacji,5
Studio24,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Wizualizator 3D / Grafik 3D,"https://useme.com/pl/jobs/wizualizator-3d-grafik-3d,104937/","Jesteśmy agencją specjalizującą się w tworzeniu wizualizacji 3D wnętrz i produktów. Obecnie poszukujemy wizualizatora 3D, który będzie nas wspierał przy realizacji pojedynczych projektów.

Zakres współpracy:

-Tworzenie realistycznych...",Description not found,Grafika 3D,"https://useme.com/pl/jobs/category/design,38/grafika-3d,119/",Do negocjacji,5
Studio24,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Pozyskiwanie nowych klientów dla agencji zajmującej się wizualizacjami 3D,"https://useme.com/pl/jobs/pozyskiwanie-nowych-klientow-dla-agencji-zajmujacej-sie-wizualizacjami-3d,104936/","Poszukuję osoby lub firmy, która zajmie się aktywnym pozyskiwaniem nowych klientów dla naszej agencji specjalizującej się w tworzeniu wizualizacji 3D wnętrz oraz produktów. 
Naszymi głównymi klientami są:
-deweloperzy
-architekci
-małe i...",Description not found,Sprzedaż i obsługa sprzedaży,"https://useme.com/pl/jobs/category/marketing,37/sprzedaz-i-obsuga-sprzedazy,113/",Do negocjacji,5
MiłoszKucar,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Shopify - Stworzenie sklepu zgodnie z wizją,"https://useme.com/pl/jobs/shopify-stworzenie-sklepu-zgodnie-z-wizja,104927/","Potrzebuje doświadczonego freelancera który postawi mi sklep on-line na platformie shopify od A-Z począwszy od copywritingu czy grafik aż po płatności i e-mail marketing.
Około 10 głównych kategorii oraz około 500 produktów.
Na sklepie również...",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,5
Paweł,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Obsługa strony www - specjalista Wordpress,"https://useme.com/pl/jobs/obsuga-strony-www-specjalista-wordpress,104924/","Poniżej link do mojej strony internetowej:
https://pawelkrzyzok.pl/
Zalezy mi na:
- optymalizacji działania storny (szybkość ładowania, rozwiązywanie błędów)
- tworzeniu nowych landing pages (jedna na 2 miesiące)
- aktualizowaniu i...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,5
Alina,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,"Korepetycje / konsultacje Google Analytics 4, Google ADS, GTM","https://useme.com/pl/jobs/korepetycje-konsultacje-google-analytics-4-google-ads-gtm,104921/","Potrzebuję korepetycji z  Google Analytics 4, wdrożenie, konfiguracja tagów w Google tag manager, na przykładzie mojego sklepu internetowego. Znam podstawy, ale  muszę zrozumieć jak to działa, na żywym przykładzie.  Przewiduję parę spotkań online.",Description not found,Analityka internetowa,"https://useme.com/pl/jobs/category/marketing,37/analityka-internetowa,115/",Do negocjacji,5
Darasek1986,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,"Portal z kamerkami dla dorosłych typu ShowUp.tv, Chaturbate.com","https://useme.com/pl/jobs/portal-z-kamerkami-dla-dorosych-typu-showuptv-chaturbatecom,104920/","Szukam firmy która wykona portal audio video streaming typu SHOWUP.TV, JASMIN.COM, BONGACAMS.COM jak i innego wykorzystującego technologie przesyłania obrazu i dźwięku.
Realizacja zawierać będzie kompletne wykonanie wraz z indywidualną grafiką...",Description not found,Strony internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/strony-internetowe,96/",Do negocjacji,5
gonciarek.com,https://useme-prod-public.s3.amazonaws.com/avatars/033/267933.png,,Znika za 29 dni,Szukam doświadczonego twórcy Ai w MIDJOURNEY,"https://useme.com/pl/jobs/szukam-doswiadczonego-tworcy-ai-w-midjourney,104918/","Cześć, 
szukam do realizacji kilku teledysków doświadczonego twórcy Ai, który będzie w stanie mi wygenerować historię obrazków na bazie referencji.",Description not found,Animacja,"https://useme.com/pl/jobs/category/multimedia,36/animacja,105/",Do negocjacji,5
bartek_sml,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Stworzenie grafiki pojazdu typu Kamper,"https://useme.com/pl/jobs/stworzenie-grafiki-pojazdu-typu-kamper,104929/","Witam, jestem zainteresowany zleceniem wykonania grafiki na koszulkę. Ma to być projekt niekomercyjny. Grafiką byłby samochód typu kamper w określonym stylu.",Description not found,Grafika 2D,"https://useme.com/pl/jobs/category/design,38/grafika-2d,118/",Do negocjacji,5
Piotr,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Dodanie oferty na pepper.pl,"https://useme.com/pl/jobs/dodanie-oferty-na-pepperpl,104932/",Zlecę dodanie oferty (realnej okazji) na pepper.pl w celu wygenerowania ruchu. Konto powinno mieć realną historię.,Description not found,Marketing szeptany,"https://useme.com/pl/jobs/category/marketing,37/marketing-szeptany,114/",Do negocjacji,5
Keep It Healthy Sp.z.o.o,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 29 dni,Montaż filmu instruktażowego,"https://useme.com/pl/jobs/montaz-filmu-instruktazowego,104917/","Dzień dobry, chciałbym zlecić montaż 3-4 minutowego filmu instruktażowego opowiadającego o platformie, którą prowadzę. Mam nagrane filmy ze wstępem, zakończeniem i pozostałymi elementami usługi. Do wykonania będzie sklejenie tego w spójną całość.",Description not found,Video,"https://useme.com/pl/jobs/category/multimedia,36/video,106/",Do negocjacji,5
animalhotels,https://useme-prod-public.s3.amazonaws.com/avatars/038/296438.png,,Znika za 58 dni,UK-Based Influencers Wanted for Collaboration with Pet-Sitting App,"https://useme.com/pl/jobs/uk-based-influencers-wanted-for-collaboration-with-pet-sitting-app,104913/","We are looking for UK-based influencers to collaborate on promoting our app, Animalhotels.co.uk, which helps pet owners find reliable sitters during temporary absences. We are at an early stage of building our client base and would like to raise...",Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/",Do negocjacji,5
Charms,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 28 dni,Podłączenie Woocommerce do Pixel TikTok,"https://useme.com/pl/jobs/podaczenie-woocommerce-do-pixel-tiktok,104912/",Podłączenie i skonfigurowanie Pixel TikTok w sklepie Woocommerce do śledzenia konwersji reklam TikTok,Description not found,Social media,"https://useme.com/pl/jobs/category/marketing,37/social-media,111/",Do negocjacji,5
FabianK,/static/images/avatar/empty-neutral.d332f86a913c.svg,,Znika za 28 dni,Konsultacja w sprawie Meta Ads,"https://useme.com/pl/jobs/konsultacja-w-sprawie-meta-ads,104909/","Dzień dobry, szukam konsultacji co do podstaw Meta Ads.
Marketer odszedł, muszę zrozumieć jak działa to co aktualnie mam

Doświadczenie w Meta Ads minimalnie 2 lata, proszę podesłać portfolio/potwierdzenie

Rozliczenie za godzinę- proszę podać...",Description not found,Kampanie reklamowe,"https://useme.com/pl/jobs/category/marketing,37/kampanie-reklamowe,109/",Do negocjacji,5
ZSquare,https://useme-prod-public.s3.amazonaws.com/avatars/093/379693.png,,Znika za 28 dni,"Sklep internetowy - minimalistyczny design, import produktów, konfiguracja bramek płatniczych","https://useme.com/pl/jobs/sklep-internetowy-minimalistyczny-design-import-produktow-konfiguracja-bramek-pa,104910/","Zlecę wykonanie sklepu online dla outletu odzieżowego. 
Styl: https://www.moliera2.com/ // mytheresa.com 

Najlepiej aby sklep był postawiony na silniku, który nie ma opłat miesięcznych. 

W zakres zlecenia wchodzi :
1. Instalacja silnika...",Description not found,Sklepy internetowe,"https://useme.com/pl/jobs/category/serwisy-internetowe,34/sklepy-internetowe,97/",Do negocjacji,5
